Timestamp,volData,currentData,batTempData,socData,sohData,motTempData,speedData
294,3.88761,0.327097515,39.4,67,89,35,110
296,3.90323,0.308695862,39.1,67,89,35,123
298,3.88761,0.297985384,38.8,67,89,35,120
300,3.90323,0.327798535,38.4,67,89,35,119
302,3.91884,0.323629318,38.1,67,89,35,125
304,3.80955,0.328986931,37.8,67,89,35,116
306,3.90323,0.305356523,37.5,67,89,35,119
308,3.90323,0.300420699,37.3,67,89,35,120
310,3.90323,0.300848816,37.1,67,89,36,112
312,3.80955,0.31806346,36.8,67,89,36,114
314,3.90323,0.3015703,36.5,67,89,36,120
316,3.88761,0.323624586,36.4,67,89,36,118
318,3.90323,0.299331791,36.2,67,89,37,121
320,3.79394,0.3040143,36,67,89,37,123
322,3.80955,0.318550081,35.9,67,89,37,124
324,3.79394,0.318238159,35.8,67,89,37,123
326,3.88761,0.320332383,35.6,67,89,37,110
328,3.91884,0.292413309,35.5,67,89,37,114
330,3.90323,0.286186456,35.3,67,89,37,124
332,3.88761,0.322113097,35.2,67,89,37,111
334,3.88761,0.321253371,35.1,67,89,37,123
336,3.79394,0.311693166,35,67,89,37,112
338,3.80955,0.294982619,34.9,67,89,37,122
340,3.88761,0.299658307,34.8,67,89,37,118
342,3.88761,0.301844942,34.7,67,89,37,120
344,3.88761,0.327677546,34.7,67,89,37,124
346,3.88761,0.313406762,34.5,67,89,37,110
348,3.88761,0.291773977,34.5,67,89,37,125
350,3.88761,0.281926261,34.4,67,89,37,114
352,3.80955,0.292805898,34.3,67,89,37,118
354,3.90323,0.322167342,34.2,67,89,37,122
356,3.872,0.317088397,34.2,67,89,37,121
358,3.88761,0.296163535,34.1,67,89,37,124
360,3.88761,0.294895258,34.1,67,89,36,125
362,3.90323,0.325010904,34,67,89,36,119
364,3.90323,0.303895168,34,67,89,36,112
366,3.88761,0.280233719,33.9,67,89,36,117
368,3.88761,0.314424331,33.9,67,89,36,118
370,3.88761,0.291205009,33.8,67,89,36,120
372,3.90323,0.320780918,33.8,67,89,36,111
374,3.88761,0.292804872,33.7,67,89,36,121
376,3.79394,0.306179693,33.7,67,89,36,113
378,3.82516,0.31373287,33.7,67,89,36,114
380,3.88761,0.284155707,33.6,67,89,36,117
382,3.90323,0.314955196,33.6,67,89,36,111
384,3.90323,0.316146579,33.5,67,89,36,120
386,3.88761,0.307980036,33.5,67,89,36,116
388,3.88761,0.31982519,33.5,67,89,36,115
390,3.90323,0.320273551,33.4,67,89,36,110
392,3.88761,0.287679958,33.4,67,89,36,125
394,3.90323,0.307021401,33.4,67,89,36,124
396,3.90323,0.329942617,33.4,67,89,36,115
398,3.85639,0.30123767,33.4,67,89,36,119
400,3.77832,0.329712315,33.3,67,89,36,111
402,3.872,0.329672502,33.3,67,89,36,110
404,3.79394,0.325281413,33.3,67,89,36,124
406,3.82516,0.294281111,33.2,67,89,36,110
408,3.88761,0.310027781,33.2,67,89,36,116
410,3.872,0.302528638,33.2,67,89,36,111
412,3.80955,0.317256956,33.1,67,89,36,116
414,3.34116,0.292376145,33.1,38,79,36,123
416,3.95006,0.287380317,33,38,79,36,112
418,3.93445,0.283994557,32.9,38,79,36,110
420,3.90323,0.291567491,32.8,38,79,36,122
422,3.95006,0.282627118,32.7,38,79,36,117
424,3.84077,0.283549022,32.6,38,79,36,121
426,3.93445,0.319234619,32.5,38,79,36,117
428,3.95006,0.281411042,32.5,38,79,36,116
430,3.95006,0.317115992,32.5,38,79,36,122
432,3.84077,0.311731086,32.4,38,79,36,113
434,3.90323,0.301666992,32.3,38,79,36,124
436,3.95006,0.323474156,32.3,38,79,35,115
438,3.85639,0.300890448,32.3,38,79,35,121
440,3.93445,0.309094945,32.2,38,79,35,112
442,3.95006,0.295173797,32.2,38,79,35,121
444,3.84077,0.319830466,32.2,38,79,35,119
446,3.95006,0.301504852,32.2,38,79,35,117
448,3.96568,0.29085238,32.1,38,79,35,121
450,3.85639,0.289477049,32.1,38,79,35,119
452,3.80955,0.304367777,32.1,38,79,35,110
454,3.93445,0.308674495,32,38,79,35,118
456,3.91884,0.293733582,32,38,79,35,122
458,3.85639,0.281230928,32,38,79,35,111
460,3.84077,0.309003456,32,38,79,35,124
462,3.91884,0.305418883,32,38,79,34,112
464,3.91884,0.30917443,32,38,79,34,111
466,3.91884,0.280730799,32,38,79,34,110
468,3.95006,0.323780399,32,38,79,34,113
470,3.93445,0.325868138,32,38,79,34,122
472,3.91884,0.281376687,32,38,79,34,117
474,3.93445,0.319353833,32,38,79,34,124
476,3.95006,0.298874865,32,38,79,34,117
478,3.88761,0.317703684,32,38,79,34,124
480,3.95006,0.309655754,32,38,79,34,124
482,3.93445,0.316027939,32,38,79,34,111
484,3.93445,0.300022237,31.9,38,79,34,111
486,3.96568,0.296637022,32,38,79,34,113
488,3.95006,0.308168329,31.9,38,79,34,113
490,3.85639,0.290033366,31.9,38,79,34,118
492,3.84077,0.288374562,31.9,38,79,34,113
494,3.93445,0.28143521,31.9,38,79,34,113
496,3.82516,0.298566447,31.9,38,79,34,121
498,3.93445,0.318291827,31.9,38,79,34,116
500,3.95006,0.306426057,31.9,38,79,34,120
502,3.872,0.299308877,31.9,38,79,34,121
504,3.85639,0.314443108,31.9,38,79,33,121
506,3.93445,0.291877859,31.9,38,79,33,125
508,3.84077,0.309420212,31.9,38,79,33,122
510,3.95006,0.323202022,31.9,38,79,33,122
512,3.88761,0.311544079,31.9,38,79,33,110
514,3.93445,0.295466248,32.1,38,79,33,114
516,3.88761,0.323277407,32.3,38,79,33,122
518,3.82516,0.291819099,32.9,38,79,33,115
520,3.95006,0.305022213,33.8,38,79,34,124
522,3.93445,0.323198945,34,38,79,34,120
524,3.91884,0.300533233,34.1,38,79,34,120
526,3.95006,0.305722094,34,38,79,34,114
528,3.95006,0.292716935,33.9,38,79,34,111
530,3.85639,0.301870633,33.8,38,79,34,113
532,3.95006,0.321790366,33.7,38,79,34,110
534,3.95006,0.319268426,33.6,38,79,35,112
536,3.95006,0.292480098,33.4,38,79,35,120
538,3.93445,0.288326189,33.3,38,79,35,124
540,3.88761,0.291056524,33.2,38,79,35,124
542,3.84077,0.327238404,33,38,79,35,118
544,3.90323,0.318794869,32.9,38,79,35,111
546,3.96568,0.287146504,32.8,38,79,35,113
548,3.95006,0.313992675,32.7,38,79,35,123
550,3.84077,0.326180358,32.6,38,79,35,120
552,3.96568,0.314493312,32.5,38,79,35,113
554,3.95006,0.300776798,32.5,38,79,34,120
